asset_id	artifact_type	relative_path	sha256	public_url	public_state	scope
portfolio-home	site-page	index.html	87749acc72c6a30ed24e3297a9a6ff33a3abcd18b97d1d1930b37fc134a5e6ca	https://zackaryloevseth.github.io/research-portfolio/	ONLINE_PENDING_AUTH	Portfolio home
portfolio-index	index	Research_Portfolio_Index.md	c8131c2559bf259d685390f8a06677ec8d5f8a3f2bc46230627fb319bab13a0c	https://zackaryloevseth.github.io/research-portfolio/Research_Portfolio_Index.md	ONLINE_PENDING_AUTH	Human-readable public asset index
publications-page	site-page	publications.html	7bccdd67fc2866cb6c522cfdebf1da31dda0fff8cb596d1482a69c90ca3add37	https://zackaryloevseth.github.io/research-portfolio/publications.html	ONLINE_PENDING_AUTH	Three publication-ready preprints
research-page	site-page	research.html	a461f289a1f9b13211dff58147043a93b286b82c6b135e5e629f185bb9ddb364	https://zackaryloevseth.github.io/research-portfolio/research.html	ONLINE_PENDING_AUTH	Research programs; Erdős 409 held at public F=71
methods-page	site-page	methods.html	2d783d9f6fc8ee5cf444292c7d605f0983e25ec5045997c906489d131f145662	https://zackaryloevseth.github.io/research-portfolio/methods.html	ONLINE_PENDING_AUTH	Verification and AI-use workflow
about-page	site-page	about.html	ab7f335769068c34358e3aa6acddc833cf761796bd58c8ee212ce539849270ea	https://zackaryloevseth.github.io/research-portfolio/about.html	ONLINE_PENDING_AUTH	Role and exact evidence-status language
contact-page	site-page	contact.html	d0321efc3912532fe9c86e5f99e2366aff9fa16818b5b40db36ec7c18fa58bf5	https://zackaryloevseth.github.io/research-portfolio/contact.html	ONLINE_PENDING_AUTH	Public contact surface
research-resume	application-pdf	assets/application/Zackary_Loevseth_Research_Resume.pdf	c7d24a1eaae30a7358e81c127fd6126bc91b9809438e2fb8667e8fb2ebfa1b95	https://zackaryloevseth.github.io/research-portfolio/assets/application/Zackary_Loevseth_Research_Resume.pdf	ONLINE_PENDING_AUTH_F71	Two pages; F=71 public state
selected-research-portfolio	application-pdf	assets/application/Zackary_Loevseth_Selected_Research_Portfolio.pdf	10539c6095a84d86a79c278eef3ca82c4865bf021346b654730ed99859a07ca0	https://zackaryloevseth.github.io/research-portfolio/assets/application/Zackary_Loevseth_Selected_Research_Portfolio.pdf	ONLINE_PENDING_AUTH_F71	Two pages; F=71 public state
graffiti3-manuscript	preprint-pdf	assets/publications/graffiti3/manuscript.pdf	edc5c123ccdde18a7b8f971c7bf8f59d7b60135125f481c9596f494267517b3d	https://zackaryloevseth.github.io/research-portfolio/assets/publications/graffiti3/manuscript.pdf	ONLINE_PENDING_AUTH	Publication-ready preprint; external review pending
graffiti3-supplement	supplement-pdf	assets/publications/graffiti3/supplementary-appendix.pdf	769b55d9a438b49421cd9821268cd9bb99a340fe54279094893b3922f7f74f85	https://zackaryloevseth.github.io/research-portfolio/assets/publications/graffiti3/supplementary-appendix.pdf	ONLINE_PENDING_AUTH	Curated first-party public candidate
semiorder-manuscript	preprint-pdf	assets/publications/semiorder/manuscript.pdf	9dec5eb5d60a296a4e48c145cb9d4952017fc85b2ddb7868be79ab937ede6923	https://zackaryloevseth.github.io/research-portfolio/assets/publications/semiorder/manuscript.pdf	ONLINE_PENDING_AUTH	Publication-ready preprint; unrestricted closure open
semiorder-supplement	supplement-pdf	assets/publications/semiorder/supplementary-appendix.pdf	7fdc8b6590d1f967e14b55d3591da31ec9d7fad80bc44af1a19de4640b4a6ac1	https://zackaryloevseth.github.io/research-portfolio/assets/publications/semiorder/supplementary-appendix.pdf	ONLINE_PENDING_AUTH	Curated first-party public candidate
erdos64-manuscript	preprint-pdf	assets/publications/erdos64/manuscript.pdf	fb781880e1d76a6b2fe1b78fe1646ac5e0b3b6a8d93714439c1a95a0607eb8cd	https://zackaryloevseth.github.io/research-portfolio/assets/publications/erdos64/manuscript.pdf	ONLINE_PENDING_AUTH	Conditional theorem; global conjecture open
erdos64-supplement	supplement-pdf	assets/publications/erdos64/supplementary-appendix.pdf	5fce8824f153c9c048142b801e3f0baeb2044743eb0ad2d2065711a90de837af	https://zackaryloevseth.github.io/research-portfolio/assets/publications/erdos64/supplementary-appendix.pdf	ONLINE_PENDING_AUTH	Curated first-party public candidate
graffiti3-repository	github-repository	-	-	https://github.com/ZackaryLoevseth/graffiti3-counterexample-families	CREATION_PENDING_AUTH	Curated first-party replay package; no reuse license
semiorder-repository	github-repository	-	-	https://github.com/ZackaryLoevseth/semiorder-zonotope-bounds	CREATION_PENDING_AUTH	Curated first-party replay package; unrestricted closure open
erdos64-paper-repository	github-repository	-	-	https://github.com/ZackaryLoevseth/erdos-64-excess-degree-bounds	CREATION_PENDING_AUTH	Conditional theorem; global conjecture open
erdos409-public-head	github-commit	-	-	https://github.com/ZackaryLoevseth/Erd-s-Problem-409/tree/995545f3ab2cfb3c1cb971f8d473140c4108eb6f	PUBLIC_VERIFIED_F71	Current site scope through F=71; F=104 site promotion pending public validation
erdos64-legacy-head	github-commit	-	-	https://github.com/ZackaryLoevseth/Erd-s-Problem-64/tree/53a7d8113f26361f02fd9f4c249566233940dd21	PUBLIC_EXISTING_LEGACY	Broader historical repository; paper repository creation pending
github-profile	github-profile	-	-	https://github.com/ZackaryLoevseth	PROFILE_REPOSITORY_PENDING_AUTH	Public account exists; profile README repository creation pending
